DateTime,Google search for highcharts
2009-11-15 22:00:00,0
2009-12-16 11:00:00,5
2010-01-16 11:00:00,7
2010-02-14 23:00:00,5
2010-03-16 12:00:00,6
2010-04-15 22:00:00,8
2010-05-16 10:00:00,11
2010-06-15 22:00:00,9
2010-07-16 10:00:00,12
2010-08-16 10:00:00,13
2010-09-15 22:00:00,17
2010-10-16 10:00:00,17
2010-11-15 22:00:00,18
2010-12-16 11:00:00,20
2011-01-16 11:00:00,20
2011-02-14 23:00:00,27
2011-03-16 12:00:00,32
2011-04-15 22:00:00,29
2011-05-16 10:00:00,34
2011-06-15 22:00:00,34
2011-07-16 10:00:00,36
2011-08-16 10:00:00,43
2011-09-15 22:00:00,44
2011-10-16 10:00:00,42
2011-11-15 22:00:00,47
2011-12-16 11:00:00,46
2012-01-16 11:00:00,50
2012-02-15 11:00:00,57
2012-03-16 12:00:00,54
2012-04-15 22:00:00,59
2012-05-16 10:00:00,62
2012-06-15 22:00:00,66
2012-07-16 10:00:00,61
2012-08-16 10:00:00,68
2012-09-15 22:00:00,67
2012-10-16 10:00:00,73
2012-11-15 22:00:00,63
2012-12-16 11:00:00,54
2013-01-16 11:00:00,67
2013-02-14 23:00:00,74
2013-03-16 12:00:00,81
2013-04-15 22:00:00,89
2013-05-16 10:00:00,83
2013-06-15 22:00:00,88
2013-07-16 10:00:00,86
2013-08-16 10:00:00,81
2013-09-15 22:00:00,83
2013-10-16 10:00:00,95
2013-11-15 22:00:00,86
2013-12-16 11:00:00,83
2014-01-16 11:00:00,89
2014-02-14 23:00:00,90
2014-03-16 12:00:00,94
2014-04-15 22:00:00,100
2014-05-16 10:00:00,100
2014-06-15 22:00:00,99
2014-07-16 10:00:00,99
2014-08-16 10:00:00,93
2014-09-15 22:00:00,97
2014-10-16 10:00:00,98